Sequence,folioURN,Siglum,Description,RV,name
174,urn:cite:fufolio:msChad.87r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-87r
175,urn:cite:fufolio:msChad.87v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-87v
176,urn:cite:fufolio:msChad.88r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-88r
177,urn:cite:fufolio:msChad.88v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-88v
178,urn:cite:fufolio:msChad.89r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-89r
179,urn:cite:fufolio:msChad.89v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-89v
180,urn:cite:fufolio:msChad.90r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-90r
181,urn:cite:fufolio:msChad.90v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-90v
182,urn:cite:fufolio:msChad.91r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-91r
183,urn:cite:fufolio:msChad.91v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-91v
184,urn:cite:fufolio:msChad.92r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-92r
185,urn:cite:fufolio:msChad.92v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-92v
186,urn:cite:fufolio:msChad.93r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-93r
187,urn:cite:fufolio:msChad.93v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-93v
188,urn:cite:fufolio:msChad.94r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-94r
189,urn:cite:fufolio:msChad.94v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-94v
190,urn:cite:fufolio:msChad.95r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-95r
191,urn:cite:fufolio:msChad.95v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-95v
192,urn:cite:fufolio:msChad.96r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-96r
193,urn:cite:fufolio:msChad.96v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-96v
194,urn:cite:fufolio:msChad.97r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-97r
195,urn:cite:fufolio:msChad.97v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-97v
