genusURN,genusName,familyURN,tsnID
urn:cite:botcar:genera.Indigofera,Indigofera,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Ipomoea,Ipomoea,urn:cite:botcar:family.Convolvulaceae,"to be added"
urn:cite:botcar:genera.Ipomoea,Ipomoea,urn:cite:botcar:family.Convolvulaceae,"to be added"
urn:cite:botcar:genera.Ipomopsis,Ipomopsis,urn:cite:botcar:family.Polemoniaceae,"to be added"
urn:cite:botcar:genera.Itea,Itea,urn:cite:botcar:family.Iteaceae,"to be added"
urn:cite:botcar:genera.Juncus,Juncus,urn:cite:botcar:family.Juncaceae,"to be added"
urn:cite:botcar:genera.Kalmia,Kalmia,urn:cite:botcar:family.Ericaceae,"to be added"
urn:cite:botcar:genera.Kosteletzkya,Kosteletzkya,urn:cite:botcar:family.Malvaceae,"to be added"
urn:cite:botcar:genera.Lachnanthes,Lachnanthes,urn:cite:botcar:family.Haemodoraceae,"to be added"
urn:cite:botcar:genera.Lactuca,Lactuca,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Lamiaceae,Lamiaceae,urn:cite:botcar:family.Lamiaceae,"to be added"
urn:cite:botcar:genera.Laportea,Laportea,urn:cite:botcar:family.Urticaceae,"to be added"
urn:cite:botcar:genera.Leptochloa,Leptochloa,urn:cite:botcar:family.Poaceae,"to be added"
urn:cite:botcar:genera.Lespedeza,Lespedeza,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Leucothoe,Leucothoe,urn:cite:botcar:family.Ericaceae,"to be added"
urn:cite:botcar:genera.Liatris,Liatris,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Lilium,Lilium,urn:cite:botcar:family.Liliaceae,"to be added"
urn:cite:botcar:genera.Liquidambar,Liquidambar,urn:cite:botcar:family.Altingiaceae,"to be added"
urn:cite:botcar:genera.Liriodendron,Liriodendron,urn:cite:botcar:family.Magnoliaceae,"to be added"
urn:cite:botcar:genera.Lithospermum,Lithospermum,urn:cite:botcar:family.Boraginaceae,"to be added"
urn:cite:botcar:genera.Litsea,Litsea,urn:cite:botcar:family.Lauraceae,"to be added"
urn:cite:botcar:genera.Lobelia,Lobelia,urn:cite:botcar:family.Campanulaceae,"to be added"
urn:cite:botcar:genera.Ludwigia,Ludwigia,urn:cite:botcar:family.Onagraceae,"to be added"
urn:cite:botcar:genera.Lupinus,Lupinus,urn:cite:botcar:family.Fabaceae,"to be added"
